BirdID,FinalStage,LayYear,LayYearEstimated,BirthDate,BirthFieldPeriodID,BirthDateEstimated,DeathYear,DeathMonth,DeathDay,DeathStatus,DeathType,Remarks,DoNotEditMe,MergeStatus
24,A,1983,TRUE,25/06/1983,3,TRUE,,,,,,,-864571905,
25,A,1982,TRUE,28/09/1983,3,TRUE,,,,,,,510638335,
26,A,1982,TRUE,22/10/1982,2,TRUE,,,,,,,-361523201,
27,A,1982,TRUE,24/10/1982,2,TRUE,,,,,,,-257688833,
28,A,1983,TRUE,16/09/1983,3,FALSE,,,,,,,-1889611265,
29,A,1983,TRUE,23/09/1983,3,FALSE,,,,,,,-817214209,
30,A,1982,TRUE,19/02/1983,2,TRUE,,,,,,,724818943,
31,A,1983,TRUE,21/05/1983,3,TRUE,,,,,,,1953705727,
32,A,1982,TRUE,23/02/1983,2,TRUE,,,,,,,1908487679,
33,A,1983,TRUE,27/08/1982,2,TRUE,,,,,,,515055871,
34,A,1984,TRUE,07/01/1984,4,TRUE,,,,,,,-1723244545,
35,A,1984,TRUE,14/05/1984,4,FALSE,,,,,,,1430430463,
36,A,1983,TRUE,23/08/1983,3,TRUE,,,,,,,-1910318593,
37,A,1983,TRUE,23/08/1983,3,TRUE,,,,,,,-853658369,
38,A,1984,FALSE,12/06/1984,4,TRUE,,,,,,,-1017633793,
39,A,1984,TRUE,22/07/1984,4,TRUE,,,,,,,1999001343,
40,A,1983,TRUE,03/02/1984,4,TRUE,,,,,,,-2008564225,
41,A,1984,TRUE,15/01/1985,5,FALSE,,,,,,,-12613377,
42,A,1984,TRUE,24/12/1984,4,TRUE,,,,,,,189016063,
43,A,1986,TRUE,25/09/1986,6,FALSE,,,,,,,1148340991,
44,A,1986,TRUE,04/08/1986,6,TRUE,,,,,,,1899225599,
45,A,1986,TRUE,19/01/1987,7,FALSE,,,,,,,-1844765441,
46,A,1986,TRUE,23/01/1987,7,FALSE,,,,,,,-1439601665,
47,A,1986,TRUE,23/01/1987,7,FALSE,,,,,,,-1581613313,
48,A,1986,TRUE,05/03/1987,7,FALSE,,,,,,,-349485569,
49,A,1986,TRUE,28/01/1987,7,FALSE,,,,,,,-1363873537,
50,A,1986,TRUE,04/02/1987,7,FALSE,,,,,,,-192679937,
51,A,1986,TRUE,08/03/1987,7,FALSE,,,,,,,567472895,
52,A,1986,TRUE,09/03/1987,7,FALSE,,,,,,,-1917720065,
53,A,1986,TRUE,16/03/1987,7,FALSE,,,,,,,-1632566017,
54,A,1986,TRUE,18/03/1987,7,FALSE,,,,,,,-572541953,
55,A,1986,TRUE,18/03/1987,7,FALSE,,,,,,,2043651839,
56,A,1987,TRUE,26/03/1987,7,FALSE,,,,,,,-1987326465,
57,A,1987,TRUE,29/03/1987,7,FALSE,,,,,,,-541894401,
58,A,1987,TRUE,30/03/1987,7,FALSE,,,,,,,-1121404929,
59,A,1987,TRUE,02/04/1987,7,FALSE,,,,,,,889494271,
60,A,1987,TRUE,15/04/1987,7,FALSE,,,,,,,-1933774337,
61,A,1987,TRUE,23/04/1987,7,FALSE,,,,,,,2008018175,
62,A,1987,TRUE,25/04/1987,7,FALSE,,,,,,,1350761471,
63,A,1987,TRUE,02/05/1987,7,FALSE,,,,,,,-1459237121,
64,A,1987,TRUE,16/08/1987,7,FALSE,,,,,,,-427207169,
65,A,1987,TRUE,16/08/1987,7,FALSE,,,,,,,-1998929665,
66,A,1987,TRUE,27/08/1987,7,FALSE,,,,,,,22183935,
67,A,1987,TRUE,27/08/1987,7,FALSE,,,,,,,698827519,
68,A,1987,TRUE,28/08/1987,7,FALSE,,,,,,,-344655361,
69,A,1987,TRUE,30/08/1987,7,FALSE,,,,,,,631756031,
70,A,1987,TRUE,01/09/1987,7,FALSE,,,,,,,1748714495,
71,A,1987,TRUE,01/09/1987,7,FALSE,,,,,,,2096953087,
72,A,1987,TRUE,08/09/1987,7,FALSE,,,,,,,-1723605505,
73,A,1987,TRUE,11/09/1987,7,FALSE,,,,,,,1691035903,
74,A,1987,TRUE,13/09/1987,7,FALSE,,,,,,,287393791,
75,A,1987,TRUE,14/09/1987,7,FALSE,,,,,,,-1889867009,
76,A,1987,TRUE,16/09/1987,7,FALSE,,,,,,,2063204863,
77,A,1987,TRUE,16/09/1987,7,FALSE,,,,,,,-1254572801,
78,A,1987,TRUE,20/09/1987,7,FALSE,,,,,,,2133363711,
79,A,1987,TRUE,24/09/1987,7,FALSE,,,,,,,1733631743,
80,A,1987,TRUE,09/10/1987,7,FALSE,,,,,,,-858036737,
81,A,1987,TRUE,15/10/1987,7,FALSE,,,,,,,1914999039,
82,A,1987,TRUE,17/10/1987,7,FALSE,,,,,,,1890914303,
83,A,1987,TRUE,20/10/1987,7,FALSE,,,,,,,1505727231,
84,A,1987,TRUE,21/10/1987,7,FALSE,,,,,,,-529790465,
85,A,1987,TRUE,26/10/1987,7,FALSE,,,,,,,-1224563457,
86,A,1987,TRUE,12/11/1987,7,FALSE,,,,,,,1667945471,
87,A,1987,TRUE,22/11/1987,7,FALSE,,,,,,,2108573439,
88,A,1987,TRUE,24/11/1987,7,FALSE,,,,,,,-1066406401,
89,A,1987,TRUE,24/11/1987,7,FALSE,,,,,,,1938225407,
90,A,1987,TRUE,26/11/1987,7,FALSE,,,,,,,1479399423,
91,A,1985,TRUE,05/12/1985,5,TRUE,,,,,,,1618295551,
92,A,1985,TRUE,12/11/1984,4,TRUE,,,,,,,350949887,
93,A,1985,TRUE,22/07/1984,4,TRUE,,,,,,,-1079669505,
94,A,,FALSE,22/07/1984,4,TRUE,,,,,,,-685630465,
95,A,1986,TRUE,28/05/1985,5,TRUE,,,,,,,-106402049,
96,A,1986,TRUE,28/02/1986,137,TRUE,,,,,,,1193375231,
97,A,1986,TRUE,05/03/1986,137,TRUE,,,,,,,1871864063,
98,A,1986,TRUE,31/05/1986,6,FALSE,,,,,,,866885631,
99,A,1986,TRUE,13/03/1986,137,TRUE,,,,,,,-551820545,
100,A,1986,TRUE,29/07/1986,6,FALSE,1986,,,E,U,,-443082241,
101,A,1986,TRUE,29/07/1986,6,FALSE,1986,,,E,U,,-406752001,
102,A,1986,TRUE,05/08/1986,6,FALSE,1986,,,E,U,,275670015,
103,A,1986,TRUE,05/08/1986,6,FALSE,1986,,,E,U,,-1193044225,
104,A,1986,TRUE,10/08/1986,6,FALSE,1986,,,E,U,,1209007615,
105,A,1986,TRUE,13/08/1986,6,FALSE,,,,,,,820431103,
106,A,1986,TRUE,16/09/1986,6,FALSE,1986,,,E,U,,592340991,
107,A,1986,TRUE,17/09/1986,6,FALSE,1986,,,E,U,,-179074305,
108,A,1986,TRUE,06/09/1986,6,FALSE,1986,,,E,U,,1938825727,
109,A,1985,TRUE,04/09/1985,5,TRUE,,,,,,,1274436863,
110,A,1986,TRUE,28/08/1986,6,FALSE,1986,,,E,U,,963619839,
111,A,1986,TRUE,29/08/1986,6,FALSE,1986,,,E,U,,-1124090113,
112,A,1986,TRUE,31/08/1986,6,FALSE,1986,,,E,U,,1046185471,
113,A,1988,FALSE,29/10/1988,9,FALSE,,,,,,,-970706689,
114,A,1988,FALSE,29/10/1988,9,FALSE,,,,,,,2067148799,
115,A,1988,FALSE,10/12/1988,9,FALSE,,,,,,,649868031,
116,A,1988,FALSE,10/12/1988,9,FALSE,,,,,,,-1275713025,
117,A,1989,FALSE,25/01/1989,11,FALSE,,,,,,,-1931197185,
118,A,1989,FALSE,25/01/1989,11,FALSE,,,,,,,-263851009,
119,A,1989,FALSE,25/01/1989,11,FALSE,,,,,,,-1415780609,
120,A,1989,FALSE,24/01/1989,11,FALSE,,,,,,,-1188819457,
121,A,1989,FALSE,08/02/1989,11,FALSE,,,,,,,32151807,
122,A,1989,FALSE,08/02/1989,11,FALSE,,,,,,,1132656639,
123,A,1989,FALSE,22/02/1989,11,FALSE,,,,,,,-621421825,
124,A,1989,FALSE,22/02/1989,11,FALSE,,,,,,,-269929985,
125,A,1989,FALSE,14/06/1989,11,FALSE,,,,,,,1328229631,
126,A,1989,FALSE,26/06/1989,11,FALSE,,,,,,,-955171841,
127,A,1989,FALSE,15/03/1989,11,FALSE,,,,,,,1314590463,
128,A,1989,FALSE,09/04/1989,11,FALSE,,,,,,,-611740161,
129,A,1989,FALSE,20/04/1989,11,FALSE,,,,,,,-86376193,
130,A,1989,FALSE,24/05/1989,11,FALSE,,,,,,,-1202405377,
131,A,1989,FALSE,19/07/1989,11,FALSE,,,,,,,-576683265,
132,A,1989,FALSE,17/07/1989,11,FALSE,,,,,,,1149843967,
133,A,1989,FALSE,19/07/1989,11,FALSE,1989,,,E,U,,-1150610177,
134,A,1989,FALSE,26/07/1989,11,FALSE,1989,,,E,U,,-1007582209,
135,A,1989,FALSE,26/07/1989,11,FALSE,,,,,,,316290815,
136,A,1989,FALSE,16/08/1989,11,FALSE,,,,,,,-592699905,
137,A,1989,FALSE,20/09/1989,11,FALSE,,,,,,,-1953339137,
138,A,1989,FALSE,20/09/1989,11,FALSE,,,,,,,-909408257,
139,A,1989,FALSE,30/08/1989,11,FALSE,,,,,,,-564385025,
140,A,1989,FALSE,25/10/1989,11,FALSE,,,,,,,586564095,
141,A,1989,FALSE,08/11/1989,11,FALSE,,,,,,,-29098753,
142,A,1989,FALSE,08/11/1989,11,FALSE,,,,,,,-519648257,
143,A,1989,FALSE,22/11/1989,11,FALSE,1989,,,E,U,,-1967497473,
144,A,1989,FALSE,15/11/1989,11,FALSE,,,,,,,-2018793985,
145,A,1990,FALSE,24/01/1990,13,FALSE,,,,,,,-759967489,
146,A,1990,FALSE,24/01/1990,13,FALSE,,,,,,,-1677242369,
147,A,1990,FALSE,24/01/1990,13,FALSE,,,,,,,-255274241,
148,A,1990,FALSE,07/02/1990,13,FALSE,,,,,,,-800044545,
149,A,1990,FALSE,07/02/1990,13,FALSE,,,,,,,-933894913,
150,A,1989,FALSE,26/07/1989,11,FALSE,,,,,,,-1938746369,
151,A,1990,FALSE,28/02/1990,13,FALSE,,,,,,,-342128897,
152,A,1990,FALSE,28/02/1990,13,FALSE,,,,,,,-1146606081,
153,A,1990,FALSE,28/02/1990,13,FALSE,,,,,,,-1294059265,
154,A,1990,FALSE,28/02/1990,13,FALSE,,,,,,,120068095,
155,A,1990,FALSE,07/03/1990,13,FALSE,,,,,,,210139903,
156,A,1990,FALSE,07/03/1990,13,FALSE,,,,,,,-440970753,
157,A,1990,FALSE,07/03/1990,13,FALSE,,,,,,,-834614017,
158,A,1990,FALSE,14/03/1990,13,FALSE,,,,,,,676355071,
159,A,1990,FALSE,07/02/1990,13,FALSE,,,,,,,-1893880065,
160,A,1988,TRUE,16/12/1988,8,TRUE,,,,,,,-339626497,
161,A,1988,TRUE,17/02/1989,8,FALSE,,,,,,,1387372799,
162,A,1988,TRUE,11/03/1989,8,FALSE,,,,,,,390979583,
163,A,1987,TRUE,24/03/1988,7,TRUE,,,,,,,-1925897473,
164,A,1989,TRUE,02/09/1989,10,FALSE,,,,,,,-800368129,
165,A,1989,TRUE,14/11/1989,10,FALSE,,,,,,,1218753791,
166,A,1989,TRUE,19/12/1989,10,TRUE,,,,,,,-1966824449,
167,A,1988,TRUE,16/01/1989,8,TRUE,,,,,,,1927337727,
168,A,1989,TRUE,15/07/1989,10,FALSE,,,,,,,-1625801217,
169,A,1988,TRUE,13/09/1988,8,TRUE,,,,,,,-1664218881,
170,A,1989,TRUE,15/07/1989,10,FALSE,,,,,,,-1936152577,
171,A,1988,TRUE,16/01/1989,8,TRUE,,,,,,,-1300968705,
172,A,1989,TRUE,15/07/1989,10,FALSE,,,,,,,1361863167,
173,A,1989,TRUE,22/01/1990,12,FALSE,,,,,,,1948359935,
174,A,1988,TRUE,13/09/1988,8,TRUE,,,,,,,2112744447,
175,A,1989,TRUE,14/01/1990,12,FALSE,,,,,,,-1199243521,
176,A,1988,TRUE,13/09/1988,8,TRUE,,,,,,,-255080961,
177,A,1989,TRUE,13/01/1990,12,FALSE,,,,,,,-1076662017,
178,A,1988,TRUE,13/09/1988,8,TRUE,,,,,,,1529376767,
179,A,1990,FALSE,16/05/1990,13,FALSE,,,,,,,535130879,
180,A,1990,FALSE,23/05/1990,13,FALSE,,,,,,,-42309121,
181,A,1990,FALSE,20/06/1990,13,FALSE,,,,,,,290948351,
182,A,1990,FALSE,27/06/1990,13,FALSE,,,,,,,1072444415,
183,A,1990,FALSE,04/07/1990,13,FALSE,,,,,,,631908095,
184,A,1988,TRUE,26/11/1988,8,TRUE,,,,,,,268193279,
185,A,1988,TRUE,23/11/1988,8,TRUE,,,,,,,-1369319169,
186,A,1989,TRUE,13/11/1989,10,FALSE,,,,,,,723335167,
187,A,1989,TRUE,13/11/1989,10,FALSE,,,,,,,1562843903,
188,A,1989,TRUE,02/10/1989,10,FALSE,,,,,,,-1101696513,
189,A,1988,TRUE,23/11/1988,8,TRUE,,,,,,,-454660865,
190,A,1989,TRUE,05/09/1989,10,FALSE,,,,,,,48200703,
191,A,1989,TRUE,04/09/1989,10,FALSE,,,,,,,-1544532225,
192,A,1989,TRUE,03/09/1989,10,FALSE,,,,,,,-1077291521,
193,A,1989,TRUE,03/09/1989,10,FALSE,,,,,,,-1625734913,
194,A,1989,TRUE,03/09/1989,10,FALSE,,,,,,,-661192705,
195,A,1989,TRUE,02/09/1989,10,FALSE,,,,,,,1440334591,
196,A,1989,TRUE,02/09/1989,10,FALSE,,,,,,,1356691967,
197,A,1989,TRUE,01/09/1989,10,FALSE,,,,,,,929977599,
198,A,1989,TRUE,01/09/1989,10,FALSE,,,,,,,1827128319,
199,A,1986,TRUE,02/12/1986,6,TRUE,,,,,,"ID=2777 typo in BTO C567792= C568792,same col ring",-1057523969,
200,A,1988,TRUE,10/09/1988,8,TRUE,,,,,,,-682336769,
201,A,1989,TRUE,30/08/1989,10,FALSE,,,,,,,-1936086785,
202,A,1989,TRUE,01/07/1989,10,FALSE,,,,,,,-206190593,
203,A,1988,TRUE,20/12/1988,8,TRUE,,,,,,,-643994881,
204,A,1987,TRUE,12/03/1988,7,TRUE,,,,,,,-969768449,
205,A,1988,TRUE,22/02/1989,8,FALSE,,,,,,,1435450623,
206,A,1988,TRUE,24/09/1988,8,FALSE,,,,,,,405081087,
207,A,1988,TRUE,22/11/1988,8,FALSE,,,,,,,778018559,
208,A,1988,TRUE,23/01/1989,8,FALSE,,,,,,,-1044650497,
209,A,1988,TRUE,25/02/1989,8,FALSE,,,,,,,-1249701633,
210,A,1987,TRUE,29/12/1987,7,TRUE,,,,,,,1083805695,
211,A,1987,TRUE,10/12/1987,7,FALSE,,,,,,,470946559,
212,A,1987,TRUE,18/01/1988,7,FALSE,,,,,,,57969151,
213,A,1988,TRUE,06/07/1988,8,FALSE,,,,,,,266937599,
214,A,1988,TRUE,10/07/1988,8,FALSE,,,,,,,314004479,
215,A,1988,TRUE,27/07/1988,8,FALSE,,,,,,,1103677183,
216,A,1988,TRUE,27/07/1988,8,FALSE,,,,,,,-31429121,
217,A,1988,TRUE,02/08/1988,8,FALSE,,,,,,,477460735,
218,A,1988,TRUE,03/08/1988,8,FALSE,,,,,,,929191935,
219,A,1988,TRUE,11/08/1988,8,FALSE,,,,,,CatchID=2147 = 216 not 219. Behav sex est = 216??,886553343,
220,A,1988,TRUE,12/08/1988,8,FALSE,,,,,,,1103335935,
221,A,1988,TRUE,25/06/1988,8,TRUE,,,,,,,991694079,
222,A,1987,TRUE,24/09/1987,7,TRUE,,,,,,,1589550079,
223,A,1987,TRUE,24/09/1987,7,TRUE,,,,,,,1959980799,
224,A,,FALSE,23/09/1988,8,TRUE,,,,,,,-1616775681,
225,A,1988,TRUE,27/06/1988,8,TRUE,,,,,,,135323903,
226,A,,FALSE,19/11/1987,7,TRUE,,,,,,,-2077220865,
227,A,,FALSE,25/09/1988,8,TRUE,,,,,,,-1618058497,
228,A,,FALSE,24/09/1988,8,TRUE,,,,,,,-1908434433,
229,A,1987,TRUE,26/09/1987,7,TRUE,,,,,,,801633535,
230,A,1987,TRUE,26/09/1987,7,TRUE,,,,,,,1918559231,
231,A,,FALSE,19/11/1987,7,TRUE,,,,,,,-451012865,
232,A,,FALSE,19/11/1987,7,TRUE,,,,,,,-849314305,
233,A,1988,TRUE,28/06/1988,8,TRUE,,,,,,,-2097854209,
234,A,,FALSE,26/09/1988,8,TRUE,,,,,,,-2027755521,
235,A,,FALSE,26/09/1988,8,TRUE,,,,,,,-1143600385,
236,A,,FALSE,26/09/1988,8,TRUE,,,,,,,1242079743,
237,A,1988,TRUE,28/06/1988,8,TRUE,,,,,,,1250745599,
238,A,1988,TRUE,17/09/1988,8,FALSE,,,,,,,-1213453313,
239,A,,FALSE,27/09/1988,8,TRUE,,,,,,,-733331713,
240,A,,FALSE,27/09/1988,8,TRUE,,,,,,,1115424255,
241,A,1987,TRUE,28/09/1987,7,TRUE,,,,,,,-607997697,
242,A,,FALSE,28/09/1988,8,TRUE,,,,,,,-732254209,
243,A,,FALSE,28/09/1988,8,TRUE,,,,,,"BirthDate was 28/9/1992, but caught 1988 Cousin.",1297003263,
244,A,1987,FALSE,28/09/1987,7,TRUE,,,,,,"DOB incorrect, caught 1988 (OH), catch-365 HD",-1438733825,
245,A,1987,TRUE,29/09/1987,7,TRUE,,,,,,,1812645119,
246,A,,FALSE,28/09/1988,8,TRUE,,,,,,,215118847,
247,A,1987,TRUE,30/09/1987,7,TRUE,,,,,,,670525183,
248,A,1987,TRUE,30/09/1987,7,TRUE,,,,,,,-837513729,
249,A,,FALSE,29/09/1988,8,TRUE,,,,,,"Original birthday changed, as bird was born on CN",622401791,
250,A,1988,FALSE,19/09/1988,8,FALSE,,,,,,Nest info CN_2005_81_1  changed. Belongs to ID3578,-1275627521,
251,A,1989,TRUE,08/09/1989,10,TRUE,,,,,,,-73901313,
252,A,1990,TRUE,14/08/1990,12,FALSE,,,,,,,939635199,
253,A,1990,FALSE,18/07/1990,13,FALSE,,,,,,,2028055807,
254,A,1990,FALSE,18/07/1990,13,FALSE,,,,,,,1139653631,
255,A,1990,FALSE,08/08/1990,13,FALSE,,,,,,,-372928769,
256,A,1990,FALSE,08/08/1990,13,FALSE,,,,,,,-750119425,
257,A,1990,FALSE,11/07/1990,13,FALSE,,,,,,,-1248296705,
258,A,1990,FALSE,22/08/1990,13,FALSE,,,,,,,-1575403521,
259,A,1990,FALSE,29/08/1990,13,FALSE,,,,,,,-766311681,
260,A,1990,FALSE,29/08/1990,13,FALSE,,,,,,,1349630463,
261,A,1990,FALSE,05/09/1990,13,FALSE,,,,,,,-642673409,
262,A,1990,FALSE,26/09/1990,13,FALSE,,,,,,,-1558313985,
263,A,1990,FALSE,26/09/1990,13,FALSE,,,,,,,-950749441,
264,A,1990,FALSE,26/09/1990,13,FALSE,,,,,,,-918774273,
265,A,1990,FALSE,17/10/1990,13,FALSE,,,,,,,-1478432513,
266,A,1990,FALSE,17/10/1990,13,FALSE,,,,,,,-824178689,
267,A,1990,FALSE,19/12/1990,13,FALSE,1990,,,E,U,,-1054954753,
268,A,1990,FALSE,19/12/1990,13,FALSE,,,,,,,-1532050945,
269,A,1990,FALSE,19/12/1990,13,FALSE,,,,,,,-82150145,
270,A,1990,FALSE,19/12/1990,13,FALSE,,,,,,,1686326271,
271,A,1991,FALSE,02/01/1991,13,FALSE,,,,,,,-1840980225,
272,A,1991,FALSE,14/02/1991,15,FALSE,,,,,,,-1156831745,
273,A,1991,FALSE,13/02/1991,15,FALSE,1991,,,E,U,,1519538431,
274,A,1991,FALSE,13/02/1991,15,FALSE,,,,,,,-1637101569,
275,A,1991,FALSE,20/02/1991,15,FALSE,1991,,,E,U,,463164159,
276,A,1991,FALSE,20/02/1991,15,FALSE,,,,,,,-1176974849,
277,A,1991,FALSE,06/03/1991,15,FALSE,,,,,,,-843291393,
278,A,1991,FALSE,06/03/1991,15,FALSE,,,,,,,910005247,
279,A,1991,FALSE,15/05/1991,15,FALSE,,,,,,,-1070201089,
280,A,1991,FALSE,10/04/1991,15,FALSE,1991,,,E,U,,-942100993,
281,A,1991,FALSE,15/05/1991,15,FALSE,1991,,,E,U,,-263407361,
282,A,1991,FALSE,10/04/1991,15,FALSE,,,,,,,685545471,
283,A,,FALSE,11/05/1990,13,TRUE,,,,,,,426310399,
284,A,1991,FALSE,05/06/1991,15,FALSE,,,,,,,1762644479,
285,A,1991,FALSE,03/07/1991,15,FALSE,,,,,,,1178029311,
286,A,1991,FALSE,03/07/1991,15,FALSE,,,,,,,-1167270913,
287,A,1991,FALSE,03/07/1991,15,FALSE,,,,,,,-355979521,
288,A,1991,FALSE,17/07/1991,15,FALSE,,,,,,,-1564330497,
289,A,1991,FALSE,31/07/1991,15,FALSE,,,,,,,-810540801,
290,A,1991,FALSE,31/07/1991,15,FALSE,,,,,,,-1169006593,
291,A,1991,FALSE,31/07/1991,15,FALSE,,,,,,,1445438207,
292,A,1991,FALSE,13/03/1991,15,FALSE,,,,,,,1601427967,
293,A,1988,TRUE,13/09/1988,8,TRUE,,,,,,,-584370945,
294,A,1988,TRUE,13/09/1988,8,TRUE,,,,,,,120660991,
295,A,1988,TRUE,16/01/1989,8,TRUE,,,,,,,1335580415,
296,A,1990,TRUE,25/03/1990,12,FALSE,,,,,,,317242879,
297,A,1988,TRUE,16/01/1989,8,TRUE,,,,,,,593266943,
298,A,1988,TRUE,13/09/1988,8,TRUE,,,,,,,1391273983,
299,A,,FALSE,29/06/1990,12,TRUE,,,,,,,1366772479,
300,A,,FALSE,29/06/1990,12,TRUE,,,,,,,-1641750017,
301,A,,FALSE,30/06/1990,12,TRUE,,,,,,,255335679,
302,A,,FALSE,30/06/1990,12,TRUE,,,,,,,648702975,
303,A,1989,TRUE,30/06/1989,10,TRUE,,,,,,,1347387135,
304,A,1983,TRUE,21/05/1983,3,TRUE,,,,,,,1936475647,
305,A,,FALSE,01/07/1989,10,TRUE,,,,,,,1509028095,
306,A,,FALSE,01/07/1990,12,TRUE,,,,,,,650964991,
307,A,1990,TRUE,16/07/1990,12,FALSE,,,,,,,-285740289,
308,A,1990,TRUE,10/08/1990,12,FALSE,,,,,,,-96278017,
309,A,1990,TRUE,10/08/1990,12,FALSE,,,,,,,-587332353,
310,A,1990,TRUE,02/09/1990,12,FALSE,,,,,,,-1762085889,
311,A,1990,TRUE,16/07/1990,12,FALSE,,,,,,,-226187521,
312,A,,FALSE,01/07/1990,12,TRUE,,,,,,,862768639,
313,A,1989,FALSE,30/06/1989,10,TRUE,,,,,,"DOB was blank, OH to catch, HD to catch-365",-1508878081,
314,A,,FALSE,30/06/1990,12,TRUE,,,,,,,504477695,
315,A,,FALSE,01/07/1989,10,TRUE,,,,,,,-162948353,
316,A,,FALSE,29/06/1990,12,TRUE,,,,,,,-1662127617,
317,A,,FALSE,29/06/1990,12,TRUE,,,,,,,1260186879,
318,A,,FALSE,29/06/1990,12,TRUE,,,,,,,-902038529,
319,A,,FALSE,29/06/1990,12,TRUE,,,,,,,1608175359,
320,A,,FALSE,29/06/1989,10,TRUE,,,,,,,1443517951,
321,A,,FALSE,29/06/1990,12,TRUE,,,,,,,2119680255,
322,A,,FALSE,29/06/1989,10,TRUE,,,,,,,1423671295,
323,A,,FALSE,29/06/1990,12,TRUE,,,,,,,-1827912961,
324,A,1989,TRUE,29/06/1989,10,TRUE,,,,,,"Assume A, Birthdate CatchDate - 365 (OH)",-2092566017,
325,A,1988,TRUE,13/09/1988,8,TRUE,,,,,,,-499854081,
326,A,1988,TRUE,16/01/1989,8,TRUE,,,,,,,-1500232705,
327,A,1988,TRUE,13/09/1988,8,TRUE,,,,,,,1710356223,
328,A,1988,TRUE,16/01/1989,8,TRUE,,,,,,,-228270593,
329,A,1988,TRUE,13/09/1988,8,TRUE,,,,,,,493365503,
330,A,1990,TRUE,25/03/1990,12,FALSE,,,,,,,-1689630721,
331,A,1988,TRUE,13/09/1988,8,TRUE,,,,,,,-723522817,
332,A,1989,TRUE,31/01/1990,12,FALSE,,,,,,,-26541569,
333,A,1988,TRUE,13/09/1988,8,TRUE,,,,,,,786808063,
334,A,,FALSE,31/12/1996,20,TRUE,,,,,,,102861823,
335,A,2003,FALSE,27/08/2003,30,FALSE,,,,,,,-160817409,
336,A,1991,FALSE,02/10/1991,15,FALSE,,,,,,,-1281595905,
337,A,1991,FALSE,02/10/1991,15,FALSE,,,,,,,31559935,
338,A,1991,FALSE,02/10/1991,15,FALSE,,,,,,,-176287745,
339,A,1991,FALSE,02/10/1991,15,FALSE,,,,,,,795120383,
340,A,1991,FALSE,02/10/1991,15,FALSE,,,,,,,863832575,
341,A,1991,FALSE,02/10/1991,15,FALSE,,,,,,,1104127231,
342,A,1991,FALSE,23/10/1991,15,FALSE,,,,,,,922997759,
343,A,1991,FALSE,06/11/1991,15,FALSE,,,,,,,-1495054593,
344,A,,FALSE,20/07/1990,13,TRUE,,,,,,,1490087423,
345,A,1991,FALSE,25/12/1991,15,FALSE,,,,,,,1852045567,
346,A,1992,FALSE,01/01/1992,15,FALSE,,,,,,,462870527,
347,A,1992,FALSE,01/01/1992,15,FALSE,,,,,,,-96847105,
348,A,1992,FALSE,08/01/1992,15,FALSE,,,,,,,-1684270593,
349,A,1992,FALSE,08/01/1992,15,FALSE,,,,,,,798133503,
350,A,1992,FALSE,15/01/1992,15,FALSE,,,,,,,2069568511,
351,A,1992,FALSE,26/02/1992,15,FALSE,,,,,,,821915391,
352,A,1992,FALSE,26/02/1992,15,FALSE,,,,,,,891450879,
353,A,1992,FALSE,26/02/1992,15,FALSE,,,,,,,-376479489,
354,A,1992,FALSE,08/01/1992,15,FALSE,,,,,,,-105603073,
355,A,1992,FALSE,01/01/1992,15,FALSE,,,,,,,-251600129,
